city,year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
iq,2000,26,0.1928857,0.1322571,0.3408857,0.2472,25.41,296.74,298.45,295.1842857,307.3,293.1,43.19,92.41857143,25.41,16.65142857,8.928571429,26.4,10.775,32.5,20.7,3,0
iq,2000,27,0.2168333,0.2761,0.2894571,0.2416571,60.61,296.6342857,298.4285714,295.3585714,306.6,291.1,46,93.58142857,60.61,16.86285714,10.31428571,26.9,11.56666667,34,20.8,55.6,0
iq,2000,28,0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.4157143,297.3928571,295.6228571,304.5,292.6,64.77,95.84857143,55.52,17.12,7.385714286,26.8,11.46666667,33,20.7,38.1,0
iq,2000,29,0.2277286,0.1454286,0.2542,0.2003143,5.6,295.3571429,296.2285714,292.7971429,303.6,288.6,23.96,87.23428571,5.6,14.43142857,9.114285714,25.76666667,10.53333333,31.5,14.7,30,0
iq,2000,30,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.4328571,297.6357143,293.9571429,307,291.5,31.8,88.16142857,62.76,15.44428571,9.5,26.6,11.48,33.3,19.1,4,0
iq,2000,31,0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.1914286,298.2857143,291.7257143,306.2,288.5,1,74.72857143,16.24,13.42142857,13.77142857,25.34,10.94,32,17,11.5,0
iq,2000,32,0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.9785714,293.8214286,308.8,292.1,26.68,83.27571429,89.37,15.31142857,11.47142857,27.01666667,11.65,34,19.9,72.9,0
iq,2000,33,0.3841333,0.39224,0.34178,0.38275,42.08,297.6271429,299.3357143,293.9928571,307.9,290.6,16.9,82.49,42.08,15.46571429,13.7,26.58333333,10.31666667,33,20.5,50.1,0
iq,2000,34,0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.2385714,299.5714286,292.9042857,310.1,291.3,5.59,74.74,49.22,14.44428571,13.77142857,26.9,13.4,34,19,89.2,0
iq,2000,35,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.2185714,300.9285714,293.4728571,310.5,292.9,16.07,74.15142857,53.65,15.05714286,12.45714286,27.11666667,12.26666667,34,20,78,0
iq,2000,36,0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.8028571,301.9357143,290.6357143,312.8,291.5,2.5,57.78714286,23.12,12.65285714,14.9,28.36666667,12.9,35.8,21.7,56.9,1
iq,2000,37,0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.8585714,301.3714286,293.64,310.7,292.3,4.1,71.66,34.62,15.22714286,13.85714286,27.425,12.775,34.5,20.5,18.9,0
iq,2000,38,0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.4357143,298.5142857,292.7071429,310.2,288.3,3.2,77.48714286,97.55,14.33857143,11.31428571,27.53333333,12.56666667,36,20.5,104.2,0
iq,2000,39,0.1756857,0.09948333,0.2257143,0.1827857,95.89,299.3557143,300.8857143,293.2171429,310.8,290,2.6,71.46285714,95.89,14.79857143,14.94285714,27.15,12.175,34,20.5,57.9,0
iq,2000,40,0.33754,0.2769429,0.2775,0.25505,46.22,298.3728571,300.5,294.6642857,309.8,292.7,16.6,82.37142857,46.22,16.14857143,11.97142857,26.7,11.675,34,20,63,0
iq,2000,41,0.2235333,0.1339143,0.3498,0.1009167,31.1,298.4742857,300.2857143,294.5928571,309.2,291.9,21.9,81.52285714,31.1,16.07142857,13.48571429,27.65714286,11.3,34,21,3,1
iq,2000,42,0.2748,0.1870571,0.3739429,0.2794714,25.21,299.2114286,301.15,294.0071429,311.8,292.3,9.9,75.54,25.21,15.52857143,14.92857143,27.775,12.275,36,21,45.2,1
iq,2000,43,0.3673,0.30555,0.45538,0.3258,49.25,299.5414286,301.1,294.7085714,310.2,291.9,23.3,76.94142857,49.25,16.19571429,13.45714286,28,12.46666667,34.6,20,57.9,0
iq,2000,44,0.2951,0.21152,0.3044,0.2796167,67.64,299.44,300.8214286,295.2742857,312.2,292.4,20.2,79.42857143,67.64,16.86857143,13.32857143,27.6,12.33333333,35.5,21.1,7.1,0
iq,2000,45,0.2713667,0.1515667,0.34725,0.2318667,51.83,300.7485714,301.8071429,295.28,310.4,294.3,19.2,74.80285714,51.83,16.84714286,12.87142857,28.175,12.25,35.2,21.5,13.5,0
iq,2000,46,0.09993333,0.03586,0.1954857,0.06418333,39.25,301.6371429,302.6142857,294.2328571,311.8,294.2,3.6,67.18571429,39.25,15.88,13.37142857,29.025,13.1,36.4,21.7,0,0
iq,2000,47,0.1699833,0.2893,0.3009833,0.1709167,55.91,300.8728571,301.9142857,293.06,311.1,293.6,11.2,66.04285714,55.91,14.76857143,13.14285714,27.7,11.35,36.5,21.5,,0
iq,2000,48,0.2519714,0.2538,0.3235143,0.3191,20.65,299.23,301.2642857,294.7171429,310,293.5,14.5,78.88571429,20.65,16.24428571,12.01428571,27.05,11.575,34.2,21,19,0
