year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,ndvi
1990,18,0.1226,0.103725,0.19848329999999997,0.17761670000000002,12.42,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,0.15060625
1990,19,0.1699,0.142175,0.1623571,0.15548570000000003,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.6,0.15747945000000002
1990,20,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.485714285709999,32.2,22.8,41.4,0.13331490000000001
1990,21,0.1286333,0.2450667,0.22755709999999998,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.4285714285699997,27.471428571399997,6.77142857143,33.3,23.3,4.0,0.2092857
1990,22,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,0.239235
1990,23,0.15455000000000002,0.17485,0.2543143,0.18174289999999999,9.58,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,0.20363573333333332
1990,24,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,0.1552607
1990,25,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,0.107375
1990,26,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.8857142857099998,28.3285714286,7.385714285710001,33.9,22.8,21.1,0.12444909999999999
1990,27,0.1476625,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.514285714290001,33.9,24.4,1.1,0.1616
